id,product_name,price,reviews_count,avg_rate
359,Kiss Beauty Crème Coiffante Sourcils Sourcils Naturels Longue Durée Incolore,38.00 Dhs,0,38.00 Dhs
360,Danone Danone - Lait Au Chocolat 200ml,3.00 Dhs,0,3.00 Dhs
361,iboga Gaming combo ensemble gaming 4 in 1 Clavier Souris casque et tapis gamer + Sticker Cadeau ( Pro gamer ),239.00 Dhs,28 avis vérifiés,239.00 Dhs
362,1-5 pcs Lampes LED solaire avec détecteur de mouvement Solar Bonne article,45.00 Dhs - 169.00 Dhs,19 avis vérifiés,45.00 Dhs - 169.00 Dhs
363,"XIAOMI Redmi 9A 6.53"" (2Go, 32Go) 13MP/5MP Android - Gris - 1 an de garantie","1,169.00 Dhs",163 avis vérifiés,"1,169.00 Dhs"
364,Bracelet Gourmette Acier Inoxydable haute qualité Noir,17.98 Dhs,20 avis vérifiés,17.98 Dhs
365,Adidas Chaussure Strutter Hommes,729.00 Dhs,1 avis vérifié,729.00 Dhs
366,Defacto T-shirt en coton coupe classique à col rond - Noir,69.00 Dhs,15 avis vérifiés,69.00 Dhs
367,DEATH NOTE (NoteBook) Cosplay Carnet Manga Cahier Anime Ryuk & Kira Death Note,49.99 Dhs,11 avis vérifiés,49.99 Dhs
368,SUPER VIGA SPRAY Spray. éjaculation précoce pour hommes .avec vitamine E . super 50000 . 45 ML,118.00 Dhs,33 avis vérifiés,118.00 Dhs
369,"true lips Pack de 12 crayons à lèvres Avec 12 Couleurs, Best Lip Liners",40.00 Dhs,94 avis vérifiés,40.00 Dhs
370,Essie Vernis à ongles 514 Birthday Girl,29.00 Dhs,3 avis vérifiés,29.00 Dhs
371,JACKET HOMME,115.00 Dhs,7 avis vérifiés,115.00 Dhs
372,X96 TV Box mini X96Q Android 11 4K 2/16GB RAM/ ROM USB 3.0 Wifi 2.4,329.50 Dhs,2 avis vérifiés,329.50 Dhs
373,"Rangement des sacs à main - Organisateur du placard transparent et anti-poussière, 6 poches",39.99 Dhs,26 avis vérifiés,39.99 Dhs
374,XIAOMI MI SMART SCALE 2 - 1 an de garantie,165.00 Dhs,13 avis vérifiés,165.00 Dhs
375,150000 RETARDATEUR SEXUEL منع سرعه القذذف و القوه الجنسيه SUPER VIGA SPRAY d,99.00 Dhs,2 avis vérifiés,99.00 Dhs
376,Adidas Sac à dos Essentials Logo Unisexe,249.00 Dhs,3 avis vérifiés,249.00 Dhs
377,Kativa Professional ALISADO BRASILENO + Shampoo Post-Alisado 250mL,199.00 Dhs,40 avis vérifiés,199.00 Dhs
378,"Nutrimax LwS> Spiruline 100% BiO renforce ( énergie, defense... ) BOITE DE 240 COMPRIMES",148.00 Dhs,3 avis vérifiés,148.00 Dhs
379,brosse à dents pour enfants bébé 2 à 12 ans 360° en forme de U Souple Outils de nettoyage buccal,48.90 Dhs,0,48.90 Dhs
380,Revolution Relove Super HD Setting Powder,50.00 Dhs,10 avis vérifiés,50.00 Dhs
381,"Remington Lisseur Keratin Protect, Plaques Flottantes Céramique Avancée, Soin Kératine Huile d'Amande, 9 Températures",550.00 Dhs,174 avis vérifiés,550.00 Dhs
382,Peineili 15 rapports spray retardateur l'éjaculation chez l'homme بخاخ تاخير سرعة القدفه,99.00 Dhs,11 avis vérifiés,99.00 Dhs
383,Rangement De Chaussures 12 Paires Pratique,39.00 Dhs,0,39.00 Dhs
384,Maybelline New York Rouge à lèvres Sensationnal liquid matte - 05 Keep it Mellow - 7 ml,35.00 Dhs,24 avis vérifiés,35.00 Dhs
385,Jacket Homme-Automne moutard,115.00 Dhs,115 avis vérifiés,115.00 Dhs
386,VEADA JOGGING WOMEN GRIS 2022,75.00 Dhs,7 avis vérifiés,75.00 Dhs
387,Visio Smart TV 40'' Android + Récepteur Intégré +TNT + USB + HDMI + Support Mural,"2,367.00 Dhs",74 avis vérifiés,"2,367.00 Dhs"
388,NIVEA MEN Déodorant Spray Homme - Fresh Ocean - 150ml,19.00 Dhs,15 avis vérifiés,19.00 Dhs
389,L'Oréal Paris Fond de teint Haute couvrance matifiant - Infaillible 24h Matte Cover - 230 miel éclat - 30 ml,59.00 Dhs,14 avis vérifiés,59.00 Dhs
390,Mona Home Concept Housse protège matelas imperméable norme européenne - 90*190 cm - Blanc,89.00 Dhs,82 avis vérifiés,89.00 Dhs
391,NIVEA Lait Crème Nourrissant - 250ml,32.00 Dhs,138 avis vérifiés,32.00 Dhs
392,Lc Waikiki Chemise Femme Oversize Droite à Manches Longues,125.30 Dhs,7 avis vérifiés,125.30 Dhs
393,Support 360rotatif universel Flexible paresseux pour Smartphones,37.00 Dhs,8 avis vérifiés,37.00 Dhs
394,Edifier W820NB ANC Casque Bluetooth sans fil Hi-Res Audio Bluetooth V5.0 40mm Pilote Type-C Charge rapide Hybride ANC,678.00 Dhs,19 avis vérifiés,678.00 Dhs
395,NIVEA Gel douche - Waterlily & Oil - 2x250ml,50.00 Dhs,31 avis vérifiés,50.00 Dhs
396,Sprite Sprite - Canette 25cl,4.00 Dhs,5 avis vérifiés,4.00 Dhs
397,gourmette acier inoxydable Haute qualité avec boit,49.00 Dhs,3 avis vérifiés,49.00 Dhs
398,Taurus Blender Optima Flash 1.5L 350w mixeur robot bol incassable -2 ans de garantie,269.00 Dhs,48 avis vérifiés,269.00 Dhs
399,Maybelline SUPERSTAY VINYL - Gloss sans transfert longue durée - 35 CHEEKY,105.00 Dhs,2 avis vérifiés,105.00 Dhs
400,LG 32'' LQ630 HD Smart TV WebOS ThinQ AI,"2,119.00 Dhs",1 avis vérifié,"2,119.00 Dhs"
401,MEGACHOCK Biscuits fourrés à la crème au chocolat Megachok 180g - ARLUY,8.00 Dhs,0,8.00 Dhs
402,Adidas T-shirt Essentials Embroidered Linear Logo Hommes,209.00 Dhs,0,209.00 Dhs
403,Gullon Gullon - Twins Cookies in Milk Chocolate 252g,18.50 Dhs,2 avis vérifiés,18.50 Dhs
404,"Deli Lot 4 Marqueurs fluorescent Surligneur : Rose, Orange, Vert, Jaune",16.99 Dhs,5 avis vérifiés,16.99 Dhs
405,"AIN ATLAS Ain Atlas - Pack 6x1,5l",27.70 Dhs,26 avis vérifiés,27.70 Dhs
406,Tummy Trimmer Appareil d'entrainement,62.00 Dhs,30 avis vérifiés,62.00 Dhs
407,Nutrimax SPIRULINE BIO 120 Comprimés 100% BIO,100.00 Dhs,22 avis vérifiés,100.00 Dhs
408,Essence Mascara crazy volume,33.60 Dhs,20 avis vérifiés,33.60 Dhs
409,Bracelet noir en acier inoxydable de qualité pour hommes et femmes,29.99 Dhs,2 avis vérifiés,29.99 Dhs
410,Amora Amora - Sauce Samourai 255g,31.20 Dhs,11 avis vérifiés,31.20 Dhs
411,"TWS I12 écouteurs Bluetooth sans fil, wireless earphones pour IOS et Android -bleu",69.00 Dhs,4 avis vérifiés,69.00 Dhs
412,Polaris SANDALES HOMMES - NOIR,144.00 Dhs,0,144.00 Dhs
413,Essie Vernis à ongles 62 Laquered up,35.00 Dhs,6 avis vérifiés,35.00 Dhs
414,3 pcs Porte-savon perforé avec égouttoir et ventouse,25.20 Dhs,6 avis vérifiés,25.20 Dhs
415,Biendell Super Pantalon Noir Style B/Ori1,75.00 Dhs,20 avis vérifiés,75.00 Dhs
416,"Canon Imprimante Multifonction PIXMA G3411, Jeu de bouteilles+1 bouteille d'encre noir","1,780.00 Dhs",271 avis vérifiés,"1,780.00 Dhs"
417,"50g - THÉ MATCHA CEREMONIE DU JAPON BIO. ANTIOXYDANT, CONCENTRATION, MINCEUR",109.90 Dhs,6 avis vérifiés,109.90 Dhs
418,Garnier Ultra Doux - Shampoing purification et brillance Charbon et Nigelle pour cheveux gras - 200ml,22.00 Dhs,31 avis vérifiés,22.00 Dhs
419,Bh Cosmetic set de 14 pinceaux visage et yeux,98.99 Dhs,5 avis vérifiés,98.99 Dhs
420,BROW Gel pour sourcil naturel Savon a sourcils - Brow Gel avec brosse,34.99 Dhs,0,34.99 Dhs
421,Edifier X6 Écouteur Bluetooth Sans Fil assistant vocal bluetooth 5.0 assistant vocal à commande tactile,399.00 Dhs,87 avis vérifiés,399.00 Dhs
422,Gullon Gullon - Crackers Cheddar 250g,18.00 Dhs,4 avis vérifiés,18.00 Dhs
423,Taurus Lot 3 PCS Crêpières 22cm +Crêpières 14cm +poêles 14 cm rouge VITAL Anti-Adhésive,133.00 Dhs,107 avis vérifiés,133.00 Dhs
424,Thechampion2022 JEU THECHAMPION ET PANINI - COUPE DU MONDE - PACK ALBUM JEU CARTES 250 STICKERS,475.00 Dhs,2 avis vérifiés,475.00 Dhs
425,Kinetix CHAUSSURES FEMME - NOIR,94.00 Dhs,2 avis vérifiés,94.00 Dhs
426,WIKSON ELECTRONICS Colliers de Dressage Rechargeable pour Chien 800 Mètres,440.00 Dhs,23 avis vérifiés,440.00 Dhs
427,Koton PANTALON FEMME -MARRON,69.00 Dhs,0,69.00 Dhs
428,Levure DE BIÈRE + SÉLÉNIUM + ZINC + MAGNÉSIUM + PHOSPHORE - 400 COMPRIMES,69.00 Dhs,12 avis vérifiés,69.00 Dhs
429,Garnier Olia 535 - Brownie,35.00 Dhs,20 avis vérifiés,35.00 Dhs
430,Sweat pour Hommes - Gris chiné,98.00 Dhs,16 avis vérifiés,98.00 Dhs
431,Htc Tondeuse Rechargeable à Cheveux AT-128 Professionnelle Lames en Acier Avec Peignes Détachable Pour Barbe et Cheveux,99.99 Dhs,195 avis vérifiés,99.99 Dhs
432,Taurus Pèse Personne Balance Numérique SOFIAjusqu’à180kg précision100g-2ans de garantie,205.00 Dhs,9 avis vérifiés,205.00 Dhs
433,manteau doudoune long Noir 2022,289.00 Dhs,3 avis vérifiés,289.00 Dhs
434,tente Moustiquaire dôme pop-up pliable Anti-moustiques Pour Lit 2 places,106.90 Dhs,4 avis vérifiés,106.90 Dhs
435,NIVEA Soft Crème de soin hydratante - 50ml,14.50 Dhs,153 avis vérifiés,14.50 Dhs
436,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 64GB ROM 50 Mpx - Blue","1,772.00 Dhs",1 avis vérifié,"1,772.00 Dhs"
437,"XIAOMI Redmi 9A 6.53"" (2Go, 32Go) 13MP/5MP Android - Bleu - 1 an de garantie","1,169.00 Dhs",110 avis vérifiés,"1,169.00 Dhs"
438,VEADA Sous pantalon femme noir,75.00 Dhs,7 avis vérifiés,75.00 Dhs
439,Maybelline New York Fond de teint fluide - Fit Me Matte & Poreless - Peaux normales à grasse - 110 PORCELAIN - 30 ml,79.00 Dhs,74 avis vérifiés,79.00 Dhs
440,"Logitech G300s Souris Gamer Filaire, Ambidextre, RVB Gaming, Ultra-Léger,Mémoire Intégrée",175.00 Dhs,166 avis vérifiés,175.00 Dhs
441,Gervais Gervais - Lait UHT Entier 6x1l,71.95 Dhs,178 avis vérifiés,71.95 Dhs
442,NIVEA Gommage aux éclats de Framboises Bio et au Riz Bio - tube 75ml,50.00 Dhs,128 avis vérifiés,50.00 Dhs
443,Étagère Porte Barre serviette mural inox(23x13x57cm),109.99 Dhs,77 avis vérifiés,109.99 Dhs
444,POP MILK Pop Milk - Pate à Tartiner Duo 700g,16.20 Dhs,9 avis vérifiés,16.20 Dhs
445,Garnier SkinActive - Eau micellaire biphasé - 400ml,55.00 Dhs,335 avis vérifiés,55.00 Dhs
446,"Montre intelligent T500 Plus série 6, homme et femme, Smart Watch 6 Rose",175.99 Dhs,3 avis vérifiés,175.99 Dhs
447,Batteur électrique poignée en acier inoxydable // Mélangeur À Oeufs//Mini Mixueur du crème// Mousseur À Lait et Café - Rose,32.00 Dhs,47 avis vérifiés,32.00 Dhs
448,Jacket Homme-Automne gris,115.00 Dhs,39 avis vérifiés,115.00 Dhs
449,"Forever Living Products STICK DEODORANT ALOES (91,1g)",112.00 Dhs,42 avis vérifiés,112.00 Dhs
450,survette femme Jogging En Molleton NOIR 2 pièces,123.00 Dhs,23 avis vérifiés,123.00 Dhs
451,Carton Box Carton jumia d'emballage x 100 Pièces pour Vendeurs 20cm/10cm/10cm,99.00 Dhs,103 avis vérifiés,99.00 Dhs
452,XR Cleaner Aspirateur à points noirs - made in france,93.00 Dhs,3 avis vérifiés,93.00 Dhs
453,Koton ROBE FILLE - ROUGE,89.00 Dhs,1 avis vérifié,89.00 Dhs
454,Lavazza Gusto Forte Café en Grains - 1 kg,151.00 Dhs,1 avis vérifié,151.00 Dhs
455,TWS TWS F9-5 écouteurs sans fil Bluetooth avec Power bank,113.99 Dhs,151 avis vérifiés,113.99 Dhs
456,Nia Casque Bluetooth Q1 avec Microphone Radio FM support Micro SD / Auxiliaire - noir,92.99 Dhs,284 avis vérifiés,92.99 Dhs
457,"Support Téléphone de Voiture sur Rétroviseur, Tourne 360°, Compatible avec tous les téléphones",37.00 Dhs,28 avis vérifiés,37.00 Dhs
458,Gullon Gullon - Biscuit Mega Duo Chocolat 500g,16.90 Dhs,5 avis vérifiés,16.90 Dhs
459,straightener Brosse cheveux thermique,59.10 Dhs,130 avis vérifiés,59.10 Dhs
460,Jedel Souris Gaming Sans fil Originale Mouse Optique Wireless,54.83 Dhs,238 avis vérifiés,54.83 Dhs
461,Carton Box Carton d'emballage x 100Pièces pour Vendeurs JUMIA 22cm/12cm/15cm,129.00 Dhs,131 avis vérifiés,129.00 Dhs
462,mifoy GM100 Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,75.00 Dhs,168 avis vérifiés,75.00 Dhs
463,Jacket Homme-Automne et hiver noir nouveau style,187.00 Dhs,0,187.00 Dhs
464,Fast Hair Brosse lissante chauffante électrique Fast Hair,63.00 Dhs,147 avis vérifiés,63.00 Dhs
465,Koton PANTALON HOMME - NOIR,69.00 Dhs,12 avis vérifiés,69.00 Dhs
